date,city,state,injured,killed,lat,lng
"April 9, 2016",Anniston,Alabama,4,0,33.6594422,-85.8316325
"April 9, 2016",Albuquerque,New Mexico,4,0,35.0841034,-106.650985
"April 7, 2016",Chicago,Illinois,4,0,41.8755546,-87.6244211
"March 31, 2016",Chicago (Englewood),Illinois,4,0,41.7790752,-87.6684426
"March 25, 2016",Chicago,Illinois,4,0,41.8755546,-87.6244211
"March 25, 2016",Denver,Colorado,4,0,39.7391536,-104.9847033
"March 21, 2016",Chicago,Illinois,4,0,41.8755546,-87.6244211
"March 19, 2016",Plantation,Florida,4,1,26.1265258,-80.2578611
"March 19, 2016",Wetumpka,Alabama,2,2,32.5437448,-86.2119126
"March 15, 2016",Atlanta,Georgia,5,0,33.7490987,-84.3901848
"March 13, 2016",Fort Myers,Florida,4,0,26.640628,-81.8723083
"March 12, 2016",Portland,Oregon,4,0,45.5202471,-122.6741948
"March 12, 2016",Oakland,California,4,0,37.8044557,-122.2713562
"March 11, 2016",Detroit,Michigan,2,2,42.3486635,-83.0567374
"March 11, 2016",Trenton,New Jersey,5,0,40.2170575,-74.7429462
"March 9, 2016",Pittsburgh (Wilkinsburg),Pennsylvania,3,5,40.4667355,-79.92144
"March 8, 2016",San Antonio,Texas,3,2,29.4246002,-98.4951404
"March 7, 2016",Lafayette,Louisiana,4,0,30.2240897,-92.0198426
"March 7, 2016",Kansas City,Kansas,0,5,39.1146799,-94.7495245
"March 6, 2016",Chelsea,Massachusetts,6,1,42.3917638,-71.0328283
"March 6, 2016",Roswell,Georgia,4,0,34.02332,-84.3600219
"March 6, 2016",Compton,California,8,1,33.8948824,-118.2260433
"March 5, 2016",Wichita,Kansas,4,0,37.6922361,-97.3375447
"March 4, 2016",Columbus,Ohio,3,1,39.9622601,-83.0007064
"February 28, 2016",Detroit,Michigan,5,0,42.3486635,-83.0567374
"February 28, 2016",Riverside (Jurupa Valley),California,3,1,33.9919588,-117.4250468
"February 27, 2016",Woodbridge (Lake Ridge),Virginia,2,2,38.6816306,-77.3020768
"February 26, 2016",Belfair,Washington,0,5,47.5023158,-122.7773647
"February 25, 2016",Hesston,Kansas,14,4,38.1383437,-97.4314266
